removals,lcc_frac,num_components,efficiency,strategy
41,0.00909090909090909,69.0,0.0,Bruiser
42,0.00909090909090909,68.0,0.0,Bruiser
43,0.00909090909090909,67.0,0.0,Bruiser
44,0.00909090909090909,66.0,0.0,Bruiser
45,0.00909090909090909,65.0,0.0,Bruiser
46,0.00909090909090909,64.0,0.0,Bruiser
47,0.00909090909090909,63.0,0.0,Bruiser
48,0.00909090909090909,62.0,0.0,Bruiser
49,0.00909090909090909,61.0,0.0,Bruiser
50,0.00909090909090909,60.0,0.0,Bruiser
51,0.00909090909090909,59.0,0.0,Bruiser
52,0.00909090909090909,58.0,0.0,Bruiser
53,0.00909090909090909,57.0,0.0,Bruiser
54,0.00909090909090909,56.0,0.0,Bruiser
55,0.00909090909090909,55.0,0.0,Bruiser
0,1.0,1.0,0.4119571865443438,Ghost
1,1.0,1.0,0.4119571865443438,Ghost
2,1.0,1.0,0.4119571865443438,Ghost
3,1.0,1.0,0.4119571865443438,Ghost
4,1.0,1.0,0.4119571865443438,Ghost
5,1.0,1.0,0.4119571865443438,Ghost
6,1.0,1.0,0.41181818181818325,Ghost
7,1.0,1.0,0.41181818181818325,Ghost
8,1.0,1.0,0.41181818181818325,Ghost
9,1.0,1.0,0.41181818181818325,Ghost
10,1.0,1.0,0.41181818181818325,Ghost
11,1.0,1.0,0.4041896024464845,Ghost
12,1.0,1.0,0.4041896024464845,Ghost
13,1.0,1.0,0.4041896024464845,Ghost
14,1.0,1.0,0.4041896024464845,Ghost
15,1.0,1.0,0.4007450653322222,Ghost
16,1.0,1.0,0.4007450653322222,Ghost
17,1.0,1.0,0.4007450653322222,Ghost
18,1.0,1.0,0.4007450653322222,Ghost
19,1.0,1.0,0.4007450653322222,Ghost
20,1.0,1.0,0.4007450653322222,Ghost
21,1.0,1.0,0.4007450653322222,Ghost
22,1.0,1.0,0.39912149013066617,Ghost
23,1.0,1.0,0.39912149013066617,Ghost
24,1.0,1.0,0.3980205726994733,Ghost
25,1.0,1.0,0.39772866277453583,Ghost
26,1.0,1.0,0.39400611620795767,Ghost
27,1.0,1.0,0.3887433972755179,Ghost
28,1.0,1.0,0.3852182374200816,Ghost
29,1.0,1.0,0.38342229635808406,Ghost
30,1.0,1.0,0.38342229635808406,Ghost
31,1.0,1.0,0.38342229635808406,Ghost
32,1.0,1.0,0.3806727828746225,Ghost
33,1.0,1.0,0.3806727828746225,Ghost
34,1.0,1.0,0.3794634417570243,Ghost
35,1.0,1.0,0.3770086182930261,Ghost
36,1.0,1.0,0.3747122602168489,Ghost
37,1.0,1.0,0.3747122602168489,Ghost
38,1.0,1.0,0.3747122602168489,Ghost
39,1.0,1.0,0.3747122602168489,Ghost
40,1.0,1.0,0.3747122602168489,Ghost
41,1.0,1.0,0.3747122602168489,Ghost
42,1.0,1.0,0.371061996107867,Ghost
43,1.0,1.0,0.371061996107867,Ghost
44,1.0,1.0,0.371061996107867,Ghost
45,1.0,1.0,0.371061996107867,Ghost
46,1.0,1.0,0.371061996107867,Ghost
47,1.0,1.0,0.371061996107867,Ghost
48,1.0,1.0,0.371061996107867,Ghost
49,1.0,1.0,0.371061996107867,Ghost
50,1.0,1.0,0.371061996107867,Ghost
51,1.0,1.0,0.371061996107867,Ghost
52,1.0,1.0,0.371061996107867,Ghost
53,1.0,1.0,0.371061996107867,Ghost
54,1.0,1.0,0.3702196274673326,Ghost
55,1.0,1.0,0.36555462885737866,Ghost
56,1.0,1.0,0.36555462885737866,Ghost
57,1.0,1.0,0.36555462885737866,Ghost
58,1.0,1.0,0.36555462885737866,Ghost
59,0.990909090909091,2.0,0.3584264664998627,Ghost
60,0.9818181818181818,3.0,0.3513817069780382,Ghost
61,0.9727272727272728,4.0,0.34442035029191187,Ghost
62,0.9636363636363636,5.0,0.33754239644148065,Ghost
63,0.9636363636363636,5.0,0.33754239644148065,Ghost
64,0.9636363636363636,5.0,0.33754239644148065,Ghost
65,0.9636363636363636,5.0,0.33754239644148065,Ghost
66,0.9636363636363636,5.0,0.33754239644148065,Ghost
67,0.9636363636363636,5.0,0.3357297748123449,Ghost
68,0.9636363636363636,5.0,0.3357297748123449,Ghost
69,0.9636363636363636,5.0,0.3357297748123449,Ghost
70,0.9636363636363636,5.0,0.33559077008618426,Ghost
71,0.9636363636363636,5.0,0.33536558242980385,Ghost
72,0.9636363636363636,5.0,0.3331180745859652,Ghost
73,0.9636363636363636,5.0,0.3331180745859652,Ghost
74,0.9636363636363636,5.0,0.3331180745859652,Ghost
75,0.9636363636363636,5.0,0.3331180745859652,Ghost
76,0.9636363636363636,5.0,0.3329234679693402,Ghost
77,0.9636363636363636,5.0,0.3329234679693402,Ghost
78,0.9636363636363636,5.0,0.3329234679693402,Ghost
79,0.9636363636363636,5.0,0.3329234679693402,Ghost
